Date,RealizationDate,Portfolio,RealizedNextReturn
1984-11-01,1984-12-01,ME5 BM2,2.3902
1984-11-01,1984-12-01,ME5 BM3,2.799
1984-11-01,1984-12-01,ME5 BM4,3.0818
1984-11-01,1984-12-01,BIG HiBM,1.358
1984-12-01,1985-01-01,SMALL LoBM,15.7035
1984-12-01,1985-01-01,ME1 BM2,15.0685
1984-12-01,1985-01-01,ME1 BM3,10.5991
1984-12-01,1985-01-01,ME1 BM4,10.0879
1984-12-01,1985-01-01,SMALL HiBM,8.4746
1984-12-01,1985-01-01,ME2 BM1,16.0494
1984-12-01,1985-01-01,ME2 BM2,12.8342
1984-12-01,1985-01-01,ME2 BM3,8.9653
1984-12-01,1985-01-01,ME2 BM4,9.6403
1984-12-01,1985-01-01,ME2 BM5,9.0607
1984-12-01,1985-01-01,ME3 BM1,13.7077
1984-12-01,1985-01-01,ME3 BM2,10.5137
1984-12-01,1985-01-01,ME3 BM3,9.6221
1984-12-01,1985-01-01,ME3 BM4,9.1077
1984-12-01,1985-01-01,ME3 BM5,8.1962
1984-12-01,1985-01-01,ME4 BM1,12.2266
1984-12-01,1985-01-01,ME4 BM2,12.6443
1984-12-01,1985-01-01,ME4 BM3,8.4302
1984-12-01,1985-01-01,ME4 BM4,8.0397
1984-12-01,1985-01-01,ME4 BM5,6.3004
1984-12-01,1985-01-01,BIG LoBM,9.6492
1984-12-01,1985-01-01,ME5 BM2,7.6952
1984-12-01,1985-01-01,ME5 BM3,7.5339
1984-12-01,1985-01-01,ME5 BM4,6.9001
1984-12-01,1985-01-01,BIG HiBM,4.4841
1985-01-01,1985-02-01,SMALL LoBM,3.8199
1985-01-01,1985-02-01,ME1 BM2,4.7299
1985-01-01,1985-02-01,ME1 BM3,3.369
1985-01-01,1985-02-01,ME1 BM4,2.7589
1985-01-01,1985-02-01,SMALL HiBM,3.818
1985-01-01,1985-02-01,ME2 BM1,2.8989
1985-01-01,1985-02-01,ME2 BM2,3.1936
1985-01-01,1985-02-01,ME2 BM3,2.4811
1985-01-01,1985-02-01,ME2 BM4,2.016
1985-01-01,1985-02-01,ME2 BM5,1.2259
1985-01-01,1985-02-01,ME3 BM1,2.1026
1985-01-01,1985-02-01,ME3 BM2,0.9171
1985-01-01,1985-02-01,ME3 BM3,1.1407
1985-01-01,1985-02-01,ME3 BM4,1.3996
1985-01-01,1985-02-01,ME3 BM5,-0.5712
1985-01-01,1985-02-01,ME4 BM1,2.6123
1985-01-01,1985-02-01,ME4 BM2,-0.8341
1985-01-01,1985-02-01,ME4 BM3,2.0002
1985-01-01,1985-02-01,ME4 BM4,2.49
1985-01-01,1985-02-01,ME4 BM5,1.1111
1985-01-01,1985-02-01,BIG LoBM,0.3417
1985-01-01,1985-02-01,ME5 BM2,2.469
1985-01-01,1985-02-01,ME5 BM3,1.5316
1985-01-01,1985-02-01,ME5 BM4,2.5124
1985-01-01,1985-02-01,BIG HiBM,2.7597
1985-02-01,1985-03-01,SMALL LoBM,-2.6482
1985-02-01,1985-03-01,ME1 BM2,-2.9405
1985-02-01,1985-03-01,ME1 BM3,-1.3539
1985-02-01,1985-03-01,ME1 BM4,-1.1512
1985-02-01,1985-03-01,SMALL HiBM,-0.4248
1985-02-01,1985-03-01,ME2 BM1,-4.5568
1985-02-01,1985-03-01,ME2 BM2,-3.4433
1985-02-01,1985-03-01,ME2 BM3,-0.7772
1985-02-01,1985-03-01,ME2 BM4,0.3918
1985-02-01,1985-03-01,ME2 BM5,3.01
1985-02-01,1985-03-01,ME3 BM1,-4.3142
1985-02-01,1985-03-01,ME3 BM2,-1.0716
1985-02-01,1985-03-01,ME3 BM3,-2.1977
1985-02-01,1985-03-01,ME3 BM4,0.5943
1985-02-01,1985-03-01,ME3 BM5,3.6181
1985-02-01,1985-03-01,ME4 BM1,-2.8412
1985-02-01,1985-03-01,ME4 BM2,-2.0947
1985-02-01,1985-03-01,ME4 BM3,0.1043
1985-02-01,1985-03-01,ME4 BM4,0.8024
1985-02-01,1985-03-01,ME4 BM5,4.6277
1985-02-01,1985-03-01,BIG LoBM,-1.6106
1985-02-01,1985-03-01,ME5 BM2,1.0331
1985-02-01,1985-03-01,ME5 BM3,-0.6786
1985-02-01,1985-03-01,ME5 BM4,1.0751
1985-02-01,1985-03-01,BIG HiBM,1.5803
1985-03-01,1985-04-01,SMALL LoBM,-2.2749
1985-03-01,1985-04-01,ME1 BM2,-1.6761
1985-03-01,1985-04-01,ME1 BM3,0.2735
1985-03-01,1985-04-01,ME1 BM4,0.497
1985-03-01,1985-04-01,SMALL HiBM,-0.7477
1985-03-01,1985-04-01,ME2 BM1,-3.1638
1985-03-01,1985-04-01,ME2 BM2,-1.2148
1985-03-01,1985-04-01,ME2 BM3,-0.3019
1985-03-01,1985-04-01,ME2 BM4,2.4846
1985-03-01,1985-04-01,ME2 BM5,0.6674
1985-03-01,1985-04-01,ME3 BM1,-1.2843
1985-03-01,1985-04-01,ME3 BM2,-1.7068
1985-03-01,1985-04-01,ME3 BM3,-0.312
1985-03-01,1985-04-01,ME3 BM4,2.7323
1985-03-01,1985-04-01,ME3 BM5,1.3762
1985-03-01,1985-04-01,ME4 BM1,-1.2714
1985-03-01,1985-04-01,ME4 BM2,-3.1145
1985-03-01,1985-04-01,ME4 BM3,0.5084
1985-03-01,1985-04-01,ME4 BM4,0.9454
1985-03-01,1985-04-01,ME4 BM5,0.8969
1985-03-01,1985-04-01,BIG LoBM,-1.7039
1985-03-01,1985-04-01,ME5 BM2,-2.3032
1985-03-01,1985-04-01,ME5 BM3,-1.2797
1985-03-01,1985-04-01,ME5 BM4,1.2474
1985-03-01,1985-04-01,BIG HiBM,2.9046
1985-04-01,1985-05-01,SMALL LoBM,2.5719
1985-04-01,1985-05-01,ME1 BM2,4.1281
1985-04-01,1985-05-01,ME1 BM3,3.6837
1985-04-01,1985-05-01,ME1 BM4,2.6072
1985-04-01,1985-05-01,SMALL HiBM,1.0915
1985-04-01,1985-05-01,ME2 BM1,3.9384
1985-04-01,1985-05-01,ME2 BM2,4.0044
1985-04-01,1985-05-01,ME2 BM3,3.1269
1985-04-01,1985-05-01,ME2 BM4,5.3817
1985-04-01,1985-05-01,ME2 BM5,2.9486
1985-04-01,1985-05-01,ME3 BM1,6.1684
1985-04-01,1985-05-01,ME3 BM2,5.4948
1985-04-01,1985-05-01,ME3 BM3,3.3015
1985-04-01,1985-05-01,ME3 BM4,4.3092
1985-04-01,1985-05-01,ME3 BM5,3.9404
1985-04-01,1985-05-01,ME4 BM1,6.6611
1985-04-01,1985-05-01,ME4 BM2,5.9056
1985-04-01,1985-05-01,ME4 BM3,5.519
1985-04-01,1985-05-01,ME4 BM4,4.2969
1985-04-01,1985-05-01,ME4 BM5,6.3053
1985-04-01,1985-05-01,BIG LoBM,5.8044
1985-04-01,1985-05-01,ME5 BM2,7.5565
1985-04-01,1985-05-01,ME5 BM3,8.6701
1985-04-01,1985-05-01,ME5 BM4,5.5579
1985-04-01,1985-05-01,BIG HiBM,4.5944
1985-05-01,1985-06-01,SMALL LoBM,0.4302
1985-05-01,1985-06-01,ME1 BM2,0.5559
1985-05-01,1985-06-01,ME1 BM3,1.0283
1985-05-01,1985-06-01,ME1 BM4,1.2352
1985-05-01,1985-06-01,SMALL HiBM,2.1224
1985-05-01,1985-06-01,ME2 BM1,0.8559
1985-05-01,1985-06-01,ME2 BM2,2.5048
1985-05-01,1985-06-01,ME2 BM3,2.4173
1985-05-01,1985-06-01,ME2 BM4,2.9172
1985-05-01,1985-06-01,ME2 BM5,3.5033
1985-05-01,1985-06-01,ME3 BM1,2.6341
1985-05-01,1985-06-01,ME3 BM2,1.9192
1985-05-01,1985-06-01,ME3 BM3,4.0222
1985-05-01,1985-06-01,ME3 BM4,2.4022
1985-05-01,1985-06-01,ME3 BM5,3.3666
1985-05-01,1985-06-01,ME4 BM1,1.9388
1985-05-01,1985-06-01,ME4 BM2,1.9044
1985-05-01,1985-06-01,ME4 BM3,2.27
1985-05-01,1985-06-01,ME4 BM4,3.5954
1985-05-01,1985-06-01,ME4 BM5,0.9125
1985-05-01,1985-06-01,BIG LoBM,0.6533
1985-05-01,1985-06-01,ME5 BM2,2.89
1985-05-01,1985-06-01,ME5 BM3,1.3836
1985-05-01,1985-06-01,ME5 BM4,0.3612
1985-05-01,1985-06-01,BIG HiBM,2.3318
1985-06-01,1985-07-01,SMALL LoBM,2.5607
1985-06-01,1985-07-01,ME1 BM2,2.7879
1985-06-01,1985-07-01,ME1 BM3,2.4289
1985-06-01,1985-07-01,ME1 BM4,1.5135
1985-06-01,1985-07-01,SMALL HiBM,2.1856
1985-06-01,1985-07-01,ME2 BM1,3.2306
1985-06-01,1985-07-01,ME2 BM2,3.4291
1985-06-01,1985-07-01,ME2 BM3,4.5804
1985-06-01,1985-07-01,ME2 BM4,0.0316
1985-06-01,1985-07-01,ME2 BM5,0.8853
1985-06-01,1985-07-01,ME3 BM1,1.2439
1985-06-01,1985-07-01,ME3 BM2,2.779
1985-06-01,1985-07-01,ME3 BM3,1.434
1985-06-01,1985-07-01,ME3 BM4,0.9912
1985-06-01,1985-07-01,ME3 BM5,1.8966
1985-06-01,1985-07-01,ME4 BM1,-0.564
1985-06-01,1985-07-01,ME4 BM2,0.39
1985-06-01,1985-07-01,ME4 BM3,1.1739
1985-06-01,1985-07-01,ME4 BM4,-2.1193
1985-06-01,1985-07-01,ME4 BM5,0.9037
1985-06-01,1985-07-01,BIG LoBM,0.6327
1985-06-01,1985-07-01,ME5 BM2,-0.4757
1985-06-01,1985-07-01,ME5 BM3,-1.6575
1985-06-01,1985-07-01,ME5 BM4,-1.5117
1985-06-01,1985-07-01,BIG HiBM,-2.3638
1985-07-01,1985-08-01,SMALL LoBM,-1.6569
1985-07-01,1985-08-01,ME1 BM2,-0.9916
1985-07-01,1985-08-01,ME1 BM3,-0.659
1985-07-01,1985-08-01,ME1 BM4,-0.0315
1985-07-01,1985-08-01,SMALL HiBM,-0.7205
1985-07-01,1985-08-01,ME2 BM1,-1.9543
1985-07-01,1985-08-01,ME2 BM2,-0.988
1985-07-01,1985-08-01,ME2 BM3,0.997
1985-07-01,1985-08-01,ME2 BM4,0.4032
1985-07-01,1985-08-01,ME2 BM5,0.3158
1985-07-01,1985-08-01,ME3 BM1,-2.4533
1985-07-01,1985-08-01,ME3 BM2,-0.819
1985-07-01,1985-08-01,ME3 BM3,-0.0235
1985-07-01,1985-08-01,ME3 BM4,-0.6991
1985-07-01,1985-08-01,ME3 BM5,0.5459
1985-07-01,1985-08-01,ME4 BM1,-1.8298
1985-07-01,1985-08-01,ME4 BM2,-0.2354
1985-07-01,1985-08-01,ME4 BM3,0.9979
1985-07-01,1985-08-01,ME4 BM4,0.3911
1985-07-01,1985-08-01,ME4 BM5,0.2453
1985-07-01,1985-08-01,BIG LoBM,-1.8467
1985-07-01,1985-08-01,ME5 BM2,-0.0007
1985-07-01,1985-08-01,ME5 BM3,-0.5404
1985-07-01,1985-08-01,ME5 BM4,0.3208
1985-07-01,1985-08-01,BIG HiBM,0.7733
1985-08-01,1985-09-01,SMALL LoBM,-8.0644
1985-08-01,1985-09-01,ME1 BM2,-5.8677
1985-08-01,1985-09-01,ME1 BM3,-4.9226
1985-08-01,1985-09-01,ME1 BM4,-4.0126
1985-08-01,1985-09-01,SMALL HiBM,-4.0769
1985-08-01,1985-09-01,ME2 BM1,-7.4361
1985-08-01,1985-09-01,ME2 BM2,-6.1973
1985-08-01,1985-09-01,ME2 BM3,-3.366
1985-08-01,1985-09-01,ME2 BM4,-3.522
1985-08-01,1985-09-01,ME2 BM5,-5.5253
1985-08-01,1985-09-01,ME3 BM1,-6.7727
1985-08-01,1985-09-01,ME3 BM2,-4.4135
1985-08-01,1985-09-01,ME3 BM3,-3.1657
1985-08-01,1985-09-01,ME3 BM4,-3.8648
1985-08-01,1985-09-01,ME3 BM5,-3.5374
1985-08-01,1985-09-01,ME4 BM1,-5.0436
1985-08-01,1985-09-01,ME4 BM2,-4.0714
1985-08-01,1985-09-01,ME4 BM3,-4.5928
1985-08-01,1985-09-01,ME4 BM4,-6.5046
1985-08-01,1985-09-01,ME4 BM5,-4.5968
1985-08-01,1985-09-01,BIG LoBM,-3.6542
1985-08-01,1985-09-01,ME5 BM2,-1.3081
1985-08-01,1985-09-01,ME5 BM3,-3.1397
1985-08-01,1985-09-01,ME5 BM4,-3.1344
1985-08-01,1985-09-01,BIG HiBM,-4.1367
1985-09-01,1985-10-01,SMALL LoBM,0.6786
1985-09-01,1985-10-01,ME1 BM2,1.9497
1985-09-01,1985-10-01,ME1 BM3,3.5702
1985-09-01,1985-10-01,ME1 BM4,3.2012
1985-09-01,1985-10-01,SMALL HiBM,1.8546
1985-09-01,1985-10-01,ME2 BM1,4.1113
1985-09-01,1985-10-01,ME2 BM2,3.6255
1985-09-01,1985-10-01,ME2 BM3,4.1396
1985-09-01,1985-10-01,ME2 BM4,5.7844
1985-09-01,1985-10-01,ME2 BM5,3.2777
1985-09-01,1985-10-01,ME3 BM1,3.9681
1985-09-01,1985-10-01,ME3 BM2,4.4385
1985-09-01,1985-10-01,ME3 BM3,4.3535
1985-09-01,1985-10-01,ME3 BM4,2.3098
1985-09-01,1985-10-01,ME3 BM5,3.3522
1985-09-01,1985-10-01,ME4 BM1,5.7234
1985-09-01,1985-10-01,ME4 BM2,5.3607
1985-09-01,1985-10-01,ME4 BM3,4.2588
1985-09-01,1985-10-01,ME4 BM4,5.5173
1985-09-01,1985-10-01,ME4 BM5,5.2327
1985-09-01,1985-10-01,BIG LoBM,3.7156
1985-09-01,1985-10-01,ME5 BM2,4.2181
1985-09-01,1985-10-01,ME5 BM3,4.8352
1985-09-01,1985-10-01,ME5 BM4,5.8386
1985-09-01,1985-10-01,BIG HiBM,6.4049
1985-10-01,1985-11-01,SMALL LoBM,5.4155
1985-10-01,1985-11-01,ME1 BM2,6.4722
1985-10-01,1985-11-01,ME1 BM3,6.3604
1985-10-01,1985-11-01,ME1 BM4,5.012
